state,name,pop
1,Alabama,4860545
2,Alaska,741522
4,Arizona,6908642
5,Arkansas,2988231
6,California,39296476
8,Colorado,5530105
9,Connecticut,3587685
10,Delaware,952698
11,District of Columbia,684336
12,Florida,20656589
13,Georgia,10313620
15,Hawaii,1428683
16,Idaho,1680026
17,Illinois,12835726
18,Indiana,6634007
19,Iowa,3130869
20,Kansas,2907731
21,Kentucky,4436113
22,Louisiana,4686157
23,Maine,1330232
24,Maryland,6024752
25,Massachusetts,6823721
26,Michigan,9933445
27,Minnesota,5525050
28,Mississippi,2985415
29,Missouri,6091176
30,Montana,1038656
31,Nebraska,1907603
32,Nevada,2939254
33,New Hampshire,1335015
34,New Jersey,8978416
35,New Mexico,2085432
36,New York,19836286
37,North Carolina,10156689
38,North Dakota,755548
39,Ohio,11622554
40,Oklahoma,3921207
41,Oregon,4085989
42,Pennsylvania,12787085
44,Rhode Island,1057566
45,South Carolina,4959822
46,South Dakota,861542
47,Tennessee,6649404
48,Texas,27904862
49,Utah,3044321
50,Vermont,623354
51,Virginia,8414380
53,Washington,7280934
54,West Virginia,1828637
55,Wisconsin,5772917
56,Wyoming,584910
